,N,rho,Arrival,Sparsity,Mean_Est,CI_Width
88,5,0.9,skewed_bot,0.8,7.742434,0.11540454013459872
89,5,0.9,skewed_bot,0.9,10.000943,0.12023604508849095
90,6,0.9,uniform,0.0,45.759530000000005,0.3810985562778805
91,6,0.9,uniform,0.1,45.908357,0.38520976542220536
92,6,0.9,uniform,0.2,46.088086,0.37492817692982217
93,6,0.9,uniform,0.3,46.63247799999999,0.44104478932816654
94,6,0.9,uniform,0.4,46.849430000000005,0.37942146678212707
95,6,0.9,uniform,0.5,47.76113,0.4514251503010083
96,6,0.9,uniform,0.6,50.378972,0.42246611365043557
97,6,0.9,uniform,0.7,54.690346,0.47703085531174577
98,6,0.9,uniform,0.8,18381.338381,2918.7390918953265
99,6,0.9,uniform,0.9,239637.939698,38473.81229576414
100,6,0.9,diagonal,0.0,23.751530000000006,0.18155630578496793
101,6,0.9,diagonal,0.1,23.743252,0.1449738206774391
102,6,0.9,diagonal,0.2,23.559811999999997,0.13031270143146673
103,6,0.9,diagonal,0.3,23.644884,0.1517250906267352
104,6,0.9,diagonal,0.4,23.654053000000005,0.14197052160035373
105,6,0.9,diagonal,0.5,23.582834000000002,0.15544198508157503
106,6,0.9,diagonal,0.6,23.794957,0.18485833448652736
107,6,0.9,diagonal,0.7,23.784971,0.146615746304665
108,6,0.9,diagonal,0.8,23.547717,0.1574613412843837
109,6,0.9,diagonal,0.9,23.929146999999997,0.13980937837806917
110,6,0.9,skewed_bot,0.0,7.23897,0.07339729030124204
111,6,0.9,skewed_bot,0.1,7.316322999999999,0.07076264686817098
112,6,0.9,skewed_bot,0.2,7.1975750000000005,0.06763461174101319
113,6,0.9,skewed_bot,0.3,7.2487580000000005,0.07556141323926352
114,6,0.9,skewed_bot,0.4,7.246604000000001,0.07027691522267811
115,6,0.9,skewed_bot,0.5,7.28625,0.07659939510035833
116,6,0.9,skewed_bot,0.6,7.228053000000001,0.0742740945343914
117,6,0.9,skewed_bot,0.7,7.284965000000001,0.07634777356678844
118,6,0.9,skewed_bot,0.8,7.69931,0.08151774720021647
119,6,0.9,skewed_bot,0.9,9.284241000000002,0.10175984271565973
120,7,0.9,uniform,0.0,58.20213599999999,0.5430529044233273
121,7,0.9,uniform,0.1,57.88062,0.5090350362183508
122,7,0.9,uniform,0.2,58.158918,0.5186308020832815
123,7,0.9,uniform,0.3,57.887843999999994,0.49552026025238777
124,7,0.9,uniform,0.4,57.876059,0.5023921010748468
125,7,0.9,uniform,0.5,57.976612999999986,0.5498632548792146
126,7,0.9,uniform,0.6,58.816549,0.414067723972463
127,7,0.9,uniform,0.7,62.29657,0.6356760825960542
128,7,0.9,uniform,0.8,74.346886,0.6901185997591427
129,7,0.9,uniform,0.9,263023.830198,42510.80663766417
130,7,0.9,diagonal,0.0,27.909337,0.16474991181761822
131,7,0.9,diagonal,0.1,27.780237999999994,0.15669867361694734
